title,type,constituencyName,votingDate,description,source
Karnataka Assembly Election 2023 - Polling Day,assembly,Bengaluru Assembly Constituencies,2023-05-10,"Polling date for Karnataka Legislative Assembly Election 2023, including Bengaluru assembly constituencies.",Election Commission of India - Karnataka Assembly Election 2023: https://www.eci.gov.in/ae-karnataka-2023
Karnataka Assembly Election 2023 - Counting and Results,assembly,Bengaluru Assembly Constituencies,2023-05-13,Counting and result declaration date for Karnataka Legislative Assembly Election 2023.,Election Commission of India - Karnataka Assembly Election 2023: https://www.eci.gov.in/ae-karnataka-2023
Lok Sabha Election 2024 - Bangalore Central Polling,parliament,Bangalore Central,2024-04-26,Polling date for Bangalore Central Lok Sabha constituency in Phase 2 of General Election 2024.,Election Commission schedule reported for Bangalore Central: https://timesofindia.indiatimes.com/india/bangalore-central-constituency-of-karnataka-lok-sabha-election-2024-date-of-voting-result-candidates-list-main-parties-schedule/articleshow/109537442.cms
Lok Sabha Election 2024 - Bangalore North Polling,parliament,Bangalore North,2024-04-26,Polling date for Bangalore North Lok Sabha constituency in Phase 2 of General Election 2024.,Election Commission schedule reported for Bangalore North: https://timesofindia.indiatimes.com/india/bangalore-north-constituency-of-karnataka-lok-sabha-election-2024-date-of-voting-result-candidates-list-main-parties-schedule/articleshow/109537392.cms
Lok Sabha Election 2024 - Bangalore South Polling,parliament,Bangalore South,2024-04-26,Polling date for Bengaluru Lok Sabha seats in Phase 2 of General Election 2024.,"Bengaluru voted in Phase 2 on April 26, 2024: https://timesofindia.indiatimes.com/city/bengaluru/lok-sabha-elections-2024-full-schedule-bengaluru-to-vote-in-phase-2-on-april-25/articleshow/108642996.cms"
Lok Sabha Election 2024 - Bangalore Rural Polling,parliament,Bangalore Rural,2024-04-26,Polling date for Bangalore Rural Lok Sabha constituency in Phase 2 of General Election 2024.,Election Commission schedule reported for Bangalore Rural: https://timesofindia.indiatimes.com/india/bangalore-rural-constituency-of-karnataka-lok-sabha-election-2024-date-of-voting-result-candidates-list-main-parties-schedule/articleshow/109537262.cms
Lok Sabha Election 2024 - Counting and Results,parliament,Bengaluru Lok Sabha Constituencies,2024-06-04,Counting and result declaration date for General Election 2024.,Election Commission of India General Elections 2024 microsite: https://elections24.eci.gov.in/
GBA Ward Election 2026 - Revised Draft Electoral Roll,ward,Greater Bengaluru Authority,2026-03-09,Revised draft ward-wise electoral roll publication date for elections to the five GBA city corporations.,Karnataka SEC schedule reported by Times of India: https://timesofindia.indiatimes.com/city/bengaluru/karnataka-state-election-commission-extends-deadline-for-ward-wise-electoral-rolls-for-bengaluru/articleshow/128789935.cms
GBA Ward Election 2026 - Claims and Objections Open,ward,Greater Bengaluru Authority,2026-03-10,Opening date for claims and objections for ward-wise electoral roll preparation.,Karnataka SEC schedule reported by Times of India: https://timesofindia.indiatimes.com/city/bengaluru/karnataka-state-election-commission-extends-deadline-for-ward-wise-electoral-rolls-for-bengaluru/articleshow/128789935.cms
GBA Ward Election 2026 - Claims and Objections Close,ward,Greater Bengaluru Authority,2026-03-16,Closing date for claims and objections for ward-wise electoral roll preparation.,Karnataka SEC schedule reported by Times of India: https://timesofindia.indiatimes.com/city/bengaluru/karnataka-state-election-commission-extends-deadline-for-ward-wise-electoral-rolls-for-bengaluru/articleshow/128789935.cms
GBA Ward Election 2026 - Final Electoral Roll,ward,Greater Bengaluru Authority,2026-04-06,Scheduled publication date for final ward-wise electoral roll for the five GBA city corporation elections.,Karnataka SEC schedule reported by Times of India: https://timesofindia.indiatimes.com/city/bengaluru/karnataka-state-election-commission-extends-deadline-for-ward-wise-electoral-rolls-for-bengaluru/articleshow/128789935.cms
GBA Ward Election 2026 - Likely Poll Window Begins,ward,Greater Bengaluru Authority,2026-06-14,Likely start of poll window reported for the five GBA city corporation elections. Replace with official notification date when issued.,Reported likely poll window: https://www.newindianexpress.com/cities/bengaluru/2026/May/09/mark-the-date-greater-bengaluru-authority-polls-likely-between-june-14-24
GBA Ward Election 2026 - Likely Poll Window Ends,ward,Greater Bengaluru Authority,2026-06-24,Likely end of poll window reported for the five GBA city corporation elections. Replace with official notification date when issued.,Reported likely poll window: https://www.newindianexpress.com/cities/bengaluru/2026/May/09/mark-the-date-greater-bengaluru-authority-polls-likely-between-june-14-24
